Sample.Name	Description	Laboratory.Identifier	Tube.Plate.Barcode	Calibration.Sample	Input.Control	Condition
wt_P16_H_1	wt_P16_H_1	202305040453_SC-1	202305040453_SC-1	No	No	CTR5
7342_3m_H_1	7342_3m_H_1	202305040453_SC-10	202305040453_SC-10	No	No	CTR6
7343_3m_H_2	7343_3m_H_2	202305040453_SC-11	202305040453_SC-11	No	No	CTR6
7352_3m_H_3	7352_3m_H_3	202305040453_SC-12	202305040453_SC-12	No	No	CTR6
7353_3m_H_4	7353_3m_H_4	202305040453_SC-13	202305040453_SC-13	No	No	CTR6
7354_3m_H_5	7354_3m_H_5	202305040453_SC-14	202305040453_SC-14	No	No	CTR6
7322_3m_H_KO_1	7322_3m_H_KO_1	202305040453_SC-15	202305040453_SC-15	No	No	EXP6
7323_3m_H_KO_2	7323_3m_H_KO_2	202305040453_SC-16	202305040453_SC-16	No	No	EXP6
7335_3m_H_KO_3	7335_3m_H_KO_3	202305040453_SC-17	202305040453_SC-17	No	No	EXP6
7336_3m_H_KO_4	7336_3m_H_KO_4	202305040453_SC-18	202305040453_SC-18	No	No	EXP6
7337_3m_H_KO_5	7337_3m_H_KO_5	202305040453_SC-19	202305040453_SC-19	No	No	EXP6
wt_P16_H_2	wt_P16_H_2	202305040453_SC-2	202305040453_SC-2	No	No	CTR5
wt_P16_H_3	wt_P16_H_3	202305040453_SC-3	202305040453_SC-3	No	No	CTR5
wt_P16_H_4	wt_P16_H_4	202305040453_SC-4	202305040453_SC-4	No	No	CTR5
KO_P16_H_1	KO_P16_H_1	202305040453_SC-5	202305040453_SC-5	No	No	EXP5
KO_P16_H_2	KO_P16_H_2	202305040453_SC-6	202305040453_SC-6	No	No	EXP5
KO_P16_H_3	KO_P16_H_3	202305040453_SC-7	202305040453_SC-7	No	No	EXP5
KO_P16_H_4	KO_P16_H_4	202305040453_SC-8	202305040453_SC-8	No	No	EXP5
KO_P16_H_5	KO_P16_H_5	202305040453_SC-9	202305040453_SC-9	No	No	EXP5
